Asset_Prices,C|S|4900|60|1,P|L|4900|60|1,C|L|5000|60|2,P|S|5000|60|2,P|L|5300|60|1,C|L|5300|60|1
5235.85,-335.85,0.00,471.70,-0.00,64.15,0.00
4981.75,-81.75,0.00,0.00,-36.50,318.25,0.00
5069.41,-169.41,0.00,138.82,-0.00,230.59,0.00
4932.47,-32.47,0.00,0.00,-135.06,367.53,0.00
5080.62,-180.62,0.00,161.24,-0.00,219.38,0.00
5697.45,-797.45,0.00,1394.90,-0.00,0.00,397.45
5346.82,-446.82,0.00,693.65,-0.00,0.00,46.82
4457.48,-0.00,442.52,0.00,-1085.05,842.52,0.00
4561.69,-0.00,338.31,0.00,-876.62,738.31,0.00
5494.73,-594.73,0.00,989.45,-0.00,0.00,194.73
4699.02,-0.00,200.98,0.00,-601.96,600.98,0.00
4937.25,-37.25,0.00,0.00,-125.50,362.75,0.00
5259.36,-359.36,0.00,518.71,-0.00,40.64,0.00
4692.19,-0.00,207.81,0.00,-615.63,607.81,0.00
5511.97,-611.97,0.00,1023.94,-0.00,0.00,211.97
4265.06,-0.00,634.94,0.00,-1469.87,1034.94,0.00
4672.98,-0.00,227.02,0.00,-654.04,627.02,0.00
4641.88,-0.00,258.12,0.00,-716.23,658.12,0.00
5437.66,-537.66,0.00,875.32,-0.00,0.00,137.66
5015.77,-115.77,0.00,31.54,-0.00,284.23,0.00
4651.04,-0.00,248.96,0.00,-697.92,648.96,0.00
5296.32,-396.32,0.00,592.64,-0.00,3.68,0.00
4707.13,-0.00,192.87,0.00,-585.74,592.87,0.00
5177.56,-277.56,0.00,355.11,-0.00,122.44,0.00
4280.71,-0.00,619.29,0.00,-1438.58,1019.29,0.00
4725.34,-0.00,174.66,0.00,-549.33,574.66,0.00
4897.17,-0.00,2.83,0.00,-205.66,402.83,0.00
5292.39,-392.39,0.00,584.79,-0.00,7.61,0.00
4959.64,-59.64,0.00,0.00,-80.72,340.36,0.00
5339.11,-439.11,0.00,678.22,-0.00,0.00,39.11
5021.45,-121.45,0.00,42.90,-0.00,278.55,0.00
5309.83,-409.83,0.00,619.66,-0.00,0.00,9.83
4821.10,-0.00,78.90,0.00,-357.80,478.90,0.00
4737.35,-0.00,162.65,0.00,-525.31,562.65,0.00
4383.44,-0.00,516.56,0.00,-1233.13,916.56,0.00
5601.57,-701.57,0.00,1203.14,-0.00,0.00,301.57
5264.74,-364.74,0.00,529.47,-0.00,35.26,0.00
5138.94,-238.94,0.00,277.88,-0.00,161.06,0.00
5238.13,-338.13,0.00,476.27,-0.00,61.87,0.00
5011.13,-111.13,0.00,22.25,-0.00,288.87,0.00
5659.07,-759.07,0.00,1318.15,-0.00,0.00,359.07
5342.93,-442.93,0.00,685.86,-0.00,0.00,42.93
4648.21,-0.00,251.79,0.00,-703.57,651.79,0.00
5107.27,-207.27,0.00,214.55,-0.00,192.73,0.00
4426.60,-0.00,473.40,0.00,-1146.80,873.40,0.00
4278.28,-0.00,621.72,0.00,-1443.45,1021.72,0.00
5066.96,-166.96,0.00,133.91,-0.00,233.04,0.00
4548.36,-0.00,351.64,0.00,-903.28,751.64,0.00
4923.37,-23.37,0.00,0.00,-153.25,376.63,0.00
5106.23,-206.23,0.00,212.46,-0.00,193.77,0.00
4508.04,-0.00,391.96,0.00,-983.93,791.96,0.00
5527.17,-627.17,0.00,1054.34,-0.00,0.00,227.17
5314.50,-414.50,0.00,629.01,-0.00,0.00,14.50
5009.23,-109.23,0.00,18.46,-0.00,290.77,0.00
4372.03,-0.00,527.97,0.00,-1255.94,927.97,0.00
5687.02,-787.02,0.00,1374.03,-0.00,0.00,387.02
5142.76,-242.76,0.00,285.51,-0.00,157.24,0.00
5025.24,-125.24,0.00,50.47,-0.00,274.76,0.00
4550.78,-0.00,349.22,0.00,-898.45,749.22,0.00
4479.38,-0.00,420.62,0.00,-1041.24,820.62,0.00
5484.88,-584.88,0.00,969.77,-0.00,0.00,184.88
5068.40,-168.40,0.00,136.80,-0.00,231.60,0.00
4603.28,-0.00,296.72,0.00,-793.43,696.72,0.00
5699.13,-799.13,0.00,1398.26,-0.00,0.00,399.13
5647.09,-747.09,0.00,1294.17,-0.00,0.00,347.09
5410.90,-510.90,0.00,821.81,-0.00,0.00,110.90
4796.26,-0.00,103.74,0.00,-407.48,503.74,0.00
5423.81,-523.81,0.00,847.61,-0.00,0.00,123.81
5266.99,-366.99,0.00,533.98,-0.00,33.01,0.00
5208.90,-308.90,0.00,417.79,-0.00,91.10,0.00
4318.49,-0.00,581.51,0.00,-1363.03,981.51,0.00
5282.49,-382.49,0.00,564.98,-0.00,17.51,0.00
5203.10,-303.10,0.00,406.19,-0.00,96.90,0.00
5175.02,-275.02,0.00,350.03,-0.00,124.98,0.00
4876.85,-0.00,23.15,0.00,-246.31,423.15,0.00
4973.75,-73.75,0.00,0.00,-52.49,326.25,0.00
4648.24,-0.00,251.76,0.00,-703.51,651.76,0.00
5197.92,-297.92,0.00,395.84,-0.00,102.08,0.00
5121.76,-221.76,0.00,243.52,-0.00,178.24,0.00
4880.61,-0.00,19.39,0.00,-238.78,419.39,0.00
5171.13,-271.13,0.00,342.25,-0.00,128.87,0.00
5316.92,-416.92,0.00,633.85,-0.00,0.00,16.92
5339.02,-439.02,0.00,678.04,-0.00,0.00,39.02
5117.17,-217.17,0.00,234.34,-0.00,182.83,0.00
4934.15,-34.15,0.00,0.00,-131.71,365.85,0.00
4318.87,-0.00,581.13,0.00,-1362.26,981.13,0.00
5542.43,-642.43,0.00,1084.87,-0.00,0.00,242.43
4413.49,-0.00,486.51,0.00,-1173.02,886.51,0.00
5159.53,-259.53,0.00,319.05,-0.00,140.47,0.00
4469.20,-0.00,430.80,0.00,-1061.60,830.80,0.00
5178.36,-278.36,0.00,356.72,-0.00,121.64,0.00
4691.05,-0.00,208.95,0.00,-617.90,608.95,0.00
4975.50,-75.50,0.00,0.00,-49.00,324.50,0.00
5499.34,-599.34,0.00,998.67,-0.00,0.00,199.34
4504.14,-0.00,395.86,0.00,-991.71,795.86,0.00
4669.40,-0.00,230.60,0.00,-661.20,630.60,0.00
5260.57,-360.57,0.00,521.13,-0.00,39.43,0.00
5731.37,-831.37,0.00,1462.73,-0.00,0.00,431.37
4718.62,-0.00,181.38,0.00,-562.77,581.38,0.00
5518.01,-618.01,0.00,1036.02,-0.00,0.00,218.01
5337.39,-437.39,0.00,674.79,-0.00,0.00,37.39
5422.31,-522.31,0.00,844.62,-0.00,0.00,122.31
5131.50,-231.50,0.00,263.00,-0.00,168.50,0.00
4782.69,-0.00,117.31,0.00,-434.62,517.31,0.00
4736.81,-0.00,163.19,0.00,-526.38,563.19,0.00
4339.64,-0.00,560.36,0.00,-1320.73,960.36,0.00
5536.73,-636.73,0.00,1073.45,-0.00,0.00,236.73
4995.50,-95.50,0.00,0.00,-9.00,304.50,0.00
