Asset_Prices,C|L|5000|60|5,C|S|5500|60|5,P|L|5500|60|5,P|S|5000|60|5
4982.42,0.00,-0.00,2587.90,-87.90
4628.30,0.00,-0.00,4358.51,-1858.51
5164.84,824.19,-0.00,1675.81,-0.00
4962.79,0.00,-0.00,2686.07,-186.07
4407.70,0.00,-0.00,5461.52,-2961.52
5708.29,3541.44,-1041.44,0.00,-0.00
5588.30,2941.52,-441.52,0.00,-0.00
5539.65,2698.26,-198.26,0.00,-0.00
4786.20,0.00,-0.00,3569.00,-1069.00
5152.28,761.42,-0.00,1738.58,-0.00
4977.65,0.00,-0.00,2611.73,-111.73
4856.03,0.00,-0.00,3219.84,-719.84
5911.26,4556.28,-2056.28,0.00,-0.00
5106.37,531.87,-0.00,1968.13,-0.00
4351.47,0.00,-0.00,5742.65,-3242.65
5288.79,1443.94,-0.00,1056.06,-0.00
5140.62,703.11,-0.00,1796.89,-0.00
4313.65,0.00,-0.00,5931.77,-3431.77
5201.82,1009.12,-0.00,1490.88,-0.00
4793.35,0.00,-0.00,3533.26,-1033.26
5051.76,258.80,-0.00,2241.20,-0.00
4609.65,0.00,-0.00,4451.76,-1951.76
5028.22,141.12,-0.00,2358.88,-0.00
4710.60,0.00,-0.00,3946.99,-1446.99
5511.81,2559.03,-59.03,0.00,-0.00
5271.73,1358.64,-0.00,1141.36,-0.00
5617.13,3085.64,-585.64,0.00,-0.00
4929.01,0.00,-0.00,2854.94,-354.94
5512.81,2564.05,-64.05,0.00,-0.00
4973.87,0.00,-0.00,2630.64,-130.64
4922.53,0.00,-0.00,2887.35,-387.35
4688.70,0.00,-0.00,4056.51,-1556.51
5075.11,375.54,-0.00,2124.46,-0.00
4845.36,0.00,-0.00,3273.21,-773.21
4933.37,0.00,-0.00,2833.16,-333.16
5457.19,2285.95,-0.00,214.05,-0.00
5217.77,1088.87,-0.00,1411.13,-0.00
4647.53,0.00,-0.00,4262.36,-1762.36
5054.75,273.74,-0.00,2226.26,-0.00
4622.66,0.00,-0.00,4386.68,-1886.68
4955.02,0.00,-0.00,2724.89,-224.89
5053.51,267.55,-0.00,2232.45,-0.00
5443.27,2216.37,-0.00,283.63,-0.00
4971.63,0.00,-0.00,2641.86,-141.86
5893.18,4465.92,-1965.92,0.00,-0.00
4724.36,0.00,-0.00,3878.20,-1378.20
4808.97,0.00,-0.00,3455.14,-955.14
5053.50,267.51,-0.00,2232.49,-0.00
4797.05,0.00,-0.00,3514.75,-1014.75
4259.66,0.00,-0.00,6201.70,-3701.70
5029.58,147.92,-0.00,2352.08,-0.00
5108.73,543.63,-0.00,1956.37,-0.00
5598.57,2992.83,-492.83,0.00,-0.00
5030.89,154.45,-0.00,2345.55,-0.00
5661.17,3305.87,-805.87,0.00,-0.00
4382.50,0.00,-0.00,5587.52,-3087.52
5194.74,973.68,-0.00,1526.32,-0.00
5082.18,410.89,-0.00,2089.11,-0.00
4772.17,0.00,-0.00,3639.15,-1139.15
6098.70,5493.50,-2993.50,0.00,-0.00
5090.61,453.03,-0.00,2046.97,-0.00
4658.76,0.00,-0.00,4206.18,-1706.18
4831.87,0.00,-0.00,3340.66,-840.66
4458.46,0.00,-0.00,5207.69,-2707.69
5500.02,2500.09,-0.09,0.00,-0.00
4611.89,0.00,-0.00,4440.53,-1940.53
5147.23,736.17,-0.00,1763.83,-0.00
5096.24,481.21,-0.00,2018.79,-0.00
4649.93,0.00,-0.00,4250.37,-1750.37
5066.56,332.78,-0.00,2167.22,-0.00
4977.28,0.00,-0.00,2613.58,-113.58
4767.28,0.00,-0.00,3663.60,-1163.60
4696.10,0.00,-0.00,4019.52,-1519.52
5242.61,1213.04,-0.00,1286.96,-0.00
5747.57,3737.84,-1237.84,0.00,-0.00
5890.53,4452.63,-1952.63,0.00,-0.00
5341.10,1705.51,-0.00,794.49,-0.00
5409.08,2045.41,-0.00,454.59,-0.00
4628.16,0.00,-0.00,4359.22,-1859.22
5101.98,509.92,-0.00,1990.08,-0.00
5083.56,417.78,-0.00,2082.22,-0.00
4391.31,0.00,-0.00,5543.44,-3043.44
5206.82,1034.12,-0.00,1465.88,-0.00
5081.39,406.97,-0.00,2093.03,-0.00
5842.81,4214.03,-1714.03,0.00,-0.00
5172.26,861.30,-0.00,1638.70,-0.00
3956.87,0.00,-0.00,7715.67,-5215.67
5460.96,2304.82,-0.00,195.18,-0.00
5309.33,1546.65,-0.00,953.35,-0.00
5018.06,90.28,-0.00,2409.72,-0.00
5878.14,4390.68,-1890.68,0.00,-0.00
5005.96,29.81,-0.00,2470.19,-0.00
4577.24,0.00,-0.00,4613.81,-2113.81
5613.66,3068.31,-568.31,0.00,-0.00
4860.55,0.00,-0.00,3197.26,-697.26
5326.77,1633.85,-0.00,866.15,-0.00
5338.69,1693.47,-0.00,806.53,-0.00
5002.86,14.28,-0.00,2485.72,-0.00
4664.83,0.00,-0.00,4175.84,-1675.84
4940.93,0.00,-0.00,2795.36,-295.36
4718.42,0.00,-0.00,3907.91,-1407.91
5471.43,2357.15,-0.00,142.85,-0.00
4714.58,0.00,-0.00,3927.10,-1427.10
5109.57,547.84,-0.00,1952.16,-0.00
5055.13,275.65,-0.00,2224.35,-0.00
4504.84,0.00,-0.00,4975.78,-2475.78
5986.91,4934.57,-2434.57,0.00,-0.00
4717.62,0.00,-0.00,3911.92,-1411.92
4943.97,0.00,-0.00,2780.13,-280.13
4793.45,0.00,-0.00,3532.74,-1032.74
5277.02,1385.12,-0.00,1114.88,-0.00
4766.81,0.00,-0.00,3665.95,-1165.95
4890.35,0.00,-0.00,3048.26,-548.26
5777.27,3886.36,-1386.36,0.00,-0.00
4821.27,0.00,-0.00,3393.65,-893.65
5170.61,853.04,-0.00,1646.96,-0.00
4467.57,0.00,-0.00,5162.16,-2662.16
5079.55,397.74,-0.00,2102.26,-0.00
5336.70,1683.49,-0.00,816.51,-0.00
4932.91,0.00,-0.00,2835.47,-335.47
4615.84,0.00,-0.00,4420.80,-1920.80
4665.59,0.00,-0.00,4172.06,-1672.06
5464.34,2321.68,-0.00,178.32,-0.00
4728.95,0.00,-0.00,3855.23,-1355.23
5073.05,365.24,-0.00,2134.76,-0.00
5305.47,1527.33,-0.00,972.67,-0.00
4610.54,0.00,-0.00,4447.32,-1947.32
4414.19,0.00,-0.00,5429.03,-2929.03
5074.10,370.49,-0.00,2129.51,-0.00
4992.88,0.00,-0.00,2535.60,-35.60
5442.82,2214.12,-0.00,285.88,-0.00
5944.31,4721.56,-2221.56,0.00,-0.00
4793.90,0.00,-0.00,3530.48,-1030.48
5216.30,1081.48,-0.00,1418.52,-0.00
4455.77,0.00,-0.00,5221.13,-2721.13
4571.51,0.00,-0.00,4642.46,-2142.46
4736.48,0.00,-0.00,3817.58,-1317.58
6183.20,5916.01,-3416.01,0.00,-0.00
4531.01,0.00,-0.00,4844.96,-2344.96
4860.09,0.00,-0.00,3199.54,-699.54
4259.87,0.00,-0.00,6200.65,-3700.65
5850.31,4251.54,-1751.54,0.00,-0.00
4843.49,0.00,-0.00,3282.54,-782.54
5305.30,1526.49,-0.00,973.51,-0.00
5188.63,943.13,-0.00,1556.87,-0.00
4980.93,0.00,-0.00,2595.33,-95.33
4701.61,0.00,-0.00,3991.95,-1491.95
5162.05,810.23,-0.00,1689.77,-0.00
5523.44,2617.18,-117.18,0.00,-0.00
5277.24,1386.22,-0.00,1113.78,-0.00
4700.71,0.00,-0.00,3996.44,-1496.44
4296.36,0.00,-0.00,6018.19,-3518.19
5739.27,3696.33,-1196.33,0.00,-0.00
4387.56,0.00,-0.00,5562.21,-3062.21
5089.06,445.29,-0.00,2054.71,-0.00
4469.30,0.00,-0.00,5153.48,-2653.48
4960.68,0.00,-0.00,2696.59,-196.59
5737.77,3688.86,-1188.86,0.00,-0.00
5585.26,2926.31,-426.31,0.00,-0.00
5430.00,2150.00,-0.00,350.00,-0.00
5308.39,1541.96,-0.00,958.04,-0.00
5509.55,2547.74,-47.74,0.00,-0.00
4916.04,0.00,-0.00,2919.81,-419.81
4692.20,0.00,-0.00,4039.01,-1539.01
4574.32,0.00,-0.00,4628.40,-2128.40
5207.91,1039.57,-0.00,1460.43,-0.00
4906.68,0.00,-0.00,2966.61,-466.61
5190.85,954.24,-0.00,1545.76,-0.00
5038.67,193.37,-0.00,2306.63,-0.00
4997.13,0.00,-0.00,2514.36,-14.36
5479.13,2395.67,-0.00,104.33,-0.00
4909.36,0.00,-0.00,2953.20,-453.20
5380.63,1903.17,-0.00,596.83,-0.00
5330.18,1650.92,-0.00,849.08,-0.00
5484.18,2420.92,-0.00,79.08,-0.00
4931.68,0.00,-0.00,2841.60,-341.60
5261.12,1305.62,-0.00,1194.38,-0.00
5547.20,2735.99,-235.99,0.00,-0.00
5274.43,1372.15,-0.00,1127.85,-0.00
5666.61,3333.06,-833.06,0.00,-0.00
4798.06,0.00,-0.00,3509.71,-1009.71
5206.72,1033.58,-0.00,1466.42,-0.00
5096.57,482.83,-0.00,2017.17,-0.00
4380.85,0.00,-0.00,5595.77,-3095.77
5486.00,2430.00,-0.00,70.00,-0.00
5163.41,817.06,-0.00,1682.94,-0.00
4737.31,0.00,-0.00,3813.45,-1313.45
4984.24,0.00,-0.00,2578.80,-78.80
4426.80,0.00,-0.00,5366.02,-2866.02
4878.27,0.00,-0.00,3108.67,-608.67
4907.97,0.00,-0.00,2960.14,-460.14
4869.49,0.00,-0.00,3152.53,-652.53
4768.58,0.00,-0.00,3657.10,-1157.10
5430.16,2150.82,-0.00,349.18,-0.00
5285.89,1429.43,-0.00,1070.57,-0.00
5161.94,809.71,-0.00,1690.29,-0.00
5110.14,550.70,-0.00,1949.30,-0.00
5311.80,1559.00,-0.00,941.00,-0.00
5475.64,2378.19,-0.00,121.81,-0.00
4734.34,0.00,-0.00,3828.30,-1328.30
5435.93,2179.66,-0.00,320.34,-0.00
4746.22,0.00,-0.00,3768.91,-1268.91
4755.80,0.00,-0.00,3721.02,-1221.02
4978.22,0.00,-0.00,2608.88,-108.88
5063.76,318.79,-0.00,2181.21,-0.00
4435.53,0.00,-0.00,5322.35,-2822.35
5035.47,177.36,-0.00,2322.64,-0.00
5074.71,373.54,-0.00,2126.46,-0.00
4572.68,0.00,-0.00,4636.58,-2136.58
5033.89,169.46,-0.00,2330.54,-0.00
4778.62,0.00,-0.00,3606.92,-1106.92
5006.19,30.93,-0.00,2469.07,-0.00
5221.62,1108.09,-0.00,1391.91,-0.00
4670.98,0.00,-0.00,4145.11,-1645.11
5491.42,2457.10,-0.00,42.90,-0.00
5491.81,2459.07,-0.00,40.93,-0.00
5825.82,4129.12,-1629.12,0.00,-0.00
4412.35,0.00,-0.00,5438.24,-2938.24
4451.73,0.00,-0.00,5241.34,-2741.34
4735.02,0.00,-0.00,3824.91,-1324.91
4961.16,0.00,-0.00,2694.21,-194.21
4967.31,0.00,-0.00,2663.47,-163.47
5271.92,1359.60,-0.00,1140.40,-0.00
5507.61,2538.05,-38.05,0.00,-0.00
5775.92,3879.62,-1379.62,0.00,-0.00
5217.89,1089.47,-0.00,1410.53,-0.00
4984.83,0.00,-0.00,2575.87,-75.87
4756.42,0.00,-0.00,3717.90,-1217.90
5658.54,3292.71,-792.71,0.00,-0.00
5321.69,1608.46,-0.00,891.54,-0.00
4896.38,0.00,-0.00,3018.11,-518.11
4691.82,0.00,-0.00,4040.91,-1540.91
5503.90,2519.52,-19.52,0.00,-0.00
5227.92,1139.60,-0.00,1360.40,-0.00
4910.25,0.00,-0.00,2948.76,-448.76
4974.08,0.00,-0.00,2629.61,-129.61
5487.42,2437.10,-0.00,62.90,-0.00
4686.48,0.00,-0.00,4067.58,-1567.58
5134.37,671.86,-0.00,1828.14,-0.00
4861.89,0.00,-0.00,3190.55,-690.55
5203.71,1018.55,-0.00,1481.45,-0.00
5707.00,3535.01,-1035.01,0.00,-0.00
4879.59,0.00,-0.00,3102.07,-602.07
4643.37,0.00,-0.00,4283.17,-1783.17
4413.56,0.00,-0.00,5432.18,-2932.18
4716.35,0.00,-0.00,3918.27,-1418.27
5407.10,2035.51,-0.00,464.49,-0.00
5500.85,2504.27,-4.27,0.00,-0.00
4407.21,0.00,-0.00,5463.97,-2963.97
4942.99,0.00,-0.00,2785.05,-285.05
5179.66,898.30,-0.00,1601.70,-0.00
5140.92,704.62,-0.00,1795.38,-0.00
5329.03,1645.16,-0.00,854.84,-0.00
5084.79,423.96,-0.00,2076.04,-0.00
5292.80,1464.02,-0.00,1035.98,-0.00
4944.05,0.00,-0.00,2779.76,-279.76
